[23:00:56] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11:42:51] [INFO] received Windows console close event; shutting log-core down
[11:45:29] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11:46:03] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11:46:13] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11:46:34] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11:46:52] [INFO] received Windows console close event; shutting log-core down
[11:47:24] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11:51:45] [INFO] received Windows console close event; shutting log-core down
[11:52:40] [INFO] received Windows console close event; shutting log-core down
[12:00:45] [INFO] received Windows console close event; shutting log-core down
